uf,endereco,cidade,bairro,latitude,longitude,data_ocorrencia,hora_ocorrencia,presenca_agentes,acao_policial,unidades_policiais,motivo_principal,outros_recortes,tipo,situacao,idade,faixa_etaria,raca,genero,local,circunstancias_vitima,qualificacoes_vitima,status_servico,status_politico,posicao_politico,partido_político,posicao_agente,coorporacao_agente,status_agente,tipo_pessoa
Rio de Janeiro,"Rua Major Goudin - Venda da Cruz, São Gonçalo - RJ, Brasil",SÃO GONÇALO,VENDA DA CRUZ,-22.8618208,-43.0860854,2024-12-28,22:00:00,Não,Não,,Tentativa/Roubo,,Pessoa,Ferida,18.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Pte. dos Carvalhos, Cabo de Santo Agostinho - PE, 54580-195, Brasil",CABO DE SANTO AGOSTINHO,PONTE DOS CARVALHOS,-8.238063384315858,-34.980197584640095,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,46.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Torres Galvão, Paulista - PE, Brasil",PAULISTA,TORRES GALVAO,-7.9557997,-34.8754852,2024-12-28,11:00:00,Sim,Sim,Polícia Militar,Ação policial,,Pessoa,Ferida,30.0,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Outros,Não identificado,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Cajueiro, Recife - PE, Brasil",RECIFE,CAJUEIRO,-8.011356100000002,-34.8858658,2024-12-30,00:00:00,Sim,Não,Policial Militar 12BPM,Tentativa/Roubo,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Av. Agostinho Nunes Machado - Conceição, Itapissuma - PE, 53700-000, Brasil",ITAPISSUMA,CONCEICAO,-7.771669161333301,-34.900196731723504,2024-12-30,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,31.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,PPTE,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Alto do Pascoal - Rua Ladeira de Pedra - Água Fria, Recife - PE, Brasil",RECIFE,AGUA FRIA,-8.0163646,-34.9003968,2024-12-30,06:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,29.0,Adulto,Branca,Homem cis,Sem identificação,Sem identificação,Mototaxista ,Não identificado,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Curado, Recife - PE, 50950-000, Brasil",RECIFE,CURADO,-8.068960063171494,-34.98087108039554,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,,Não identificado,Não identificado,Não identificado,Sem identificação,Encontro de cadáver,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Loteamento Grande Recife - R. Moçambique - Sucupira, Jaboatão dos Guararapes - PE, 54280-190, Brasil",JABOATAO DOS GUARARAPES,SUCUPIRA,-8.0996414,-34.966342,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,59.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"Loteamento Grande Recife - R. Moçambique - Sucupira, Jaboatão dos Guararapes - PE, 54280-190, Brasil",JABOATAO DOS GUARARAPES,SUCUPIRA,-8.0996414,-34.966342,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,56.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Pernambuco,"R. José Braz da Silva - Rosário, Cabo de Santo Agostinho - PE, 54520-715, Brasil",CABO DE SANTO AGOSTINHO,ROSARIO - PE 60,-8.308577865463675,-35.01848694940736,2024-12-29,00:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,22.0,Adulto,Negra,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
