uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Rio de Janeiro,RIO DE JANEIRO,VILA ISABEL,-22.91,-43.2575,2024-11-24 00:03:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,RECREIO DOS BANDEIRANTES,-23.0178705,-43.4647479,2024-11-12 22:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,JACAREPAGUA,-22.9703412,-43.3256186,2024-11-23 14:39:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,RIO COMPRIDO,-22.93159867708883,-43.20903912446746,2024-11-23 11:30:00,Imprensa,Sim,Sim,,,,,Não,Arrastão,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,ITANHANGA,-22.9899253,-43.3216369,2024-11-23 06:30:00,Imprensa,Sim,Sim,1.0,1.0,,,Não,Disputa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,ITANHANGA,-22.9899253,-43.3216369,2024-11-23 04:30:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,11
Bahia,SALVADOR,TROBOGY,-12.92631253755226,-38.40887927609702,2024-11-23 11:00:00,Imprensa,Não,Não,,1.0,,,Não,Briga,#fe9600,,,11
Pernambuco,OLINDA,TABAJARA,-7.968244428903845,-34.86742395527104,2024-11-23 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,BRASILIA TEIMOSA,-8.088687551519305,-34.88028380825859,2024-11-22 00:00:00,Usuário,Não,Não,,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,BOMBA DO HEMETERIO,-8.023537857402621,-34.89883234117479,2024-11-22 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,COMERCIO,-12.967759588229212,-38.509136052606,2024-11-22 23:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,DIAS D'AVILA,BOSQUE DIAS D AVILA,-12.619556213530576,-38.285634005070754,2024-11-23 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,BARREIRAS,-12.945722571930997,-38.45541127116434,2024-11-22 22:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,PARQUE ARARUAMA,-22.8015353,-43.3473325,2024-11-22 15:00:00,Polícia,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,COSTA BARROS,-22.8225501,-43.3704118,2024-11-22 16:00:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,COELHO NETO,-22.83831622,-43.34490657,2024-11-22 20:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,NOVA IGUAÇU,PARAISO,-22.8153261,-43.5967397,2024-11-22 22:12:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Bahia,SALVADOR,ITAPUA,-12.9302838,-38.3584213,2024-11-22 21:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,SANTA LUZIA,-12.9335348628867,-38.48987347801678,2024-11-22 12:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,LINS DE VASCONCELOS,-22.91593994,-43.27922888,2024-11-22 11:00:00,Imprensa,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,ENGENHO NOVO,-22.90860304,-43.26500038,2024-11-22 11:31:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.9227648,-43.2231398,2024-11-22 11:35:00,Imprensa,Sim,Sim,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CIDADE NOVA,-22.90918266081397,-43.199646915869145,2024-11-12 14:00:00,Imprensa,Sim,Não,,,,1.0,Não,Não identificado,#fe9600,,,11
Pernambuco,RECIFE,COQUEIRAL,-8.0860122904689,-34.96614835916237,2024-11-21 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,JABOATAO DOS GUARARAPES,FLORIANO,-8.08438951014187,-34.98795117382541,2024-11-21 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,NOVA IGUAÇU,CENTRO,-22.7613212,-43.4490569,2024-11-21 21:30:00,Imprensa,Sim,Sim,1.0,1.0,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,SAO CRISTOVAO,-12.9132314,-38.3554809,2024-11-21 00:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,MEIER,-22.8999136,-43.2814755,2024-11-21 19:30:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,SEROPÉDICA,FAZENDA CAXIAS,-22.7515433,-43.7117986,2024-11-20 20:30:00,Imprensa,Não,Não,1.0,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,DUQUE DE CAXIAS,SANTA CRUZ DA SERRA,-22.6394465,-43.2763246,2024-11-21 19:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,LOBATO,-12.92662198399737,-38.485615976057424,2024-11-21 15:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,PERNAMBUES,-12.972111385222126,-38.46173497605744,2024-11-21 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,BARRO,-8.088770199999999,-34.9454415,2024-11-21 00:00:00,Usuário,Sim,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,GUARATIBA,-22.9467842,-43.5942218,2024-11-21 12:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,LAURO DE FREITAS,PORTAO,-12.867089451659684,-38.29846352258303,2024-11-21 12:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,SAO LOURENCO DA MATA,PENEDO,-8.046811919478811,-35.00892229985582,2024-11-20 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Pernambuco,OLINDA,OURO PRETO,-7.995144242697144,-34.870100220567615,2024-11-20 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,VARGEM GRANDE,-22.9762943,-43.4941932,2024-11-18 22:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,CABO DE SANTO AGOSTINHO,BOM CONSELHO,-8.236267764085255,-34.97773828582779,2024-11-20 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,CORREGO DO JENIPAPO,-8.007244110254645,-34.936826276710576,2024-11-20 21:10:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,MACAXEIRA,-8.00780837410055,-34.93747667937977,2024-11-21 05:00:00,Imprensa,Sim,Não,,,1.0,,Não,Tentativa/Roubo,#fe9600,,,11
Bahia,SALVADOR,BARREIRAS,-12.945419682075766,-38.455619074107375,2024-11-21 02:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,VILA ISABEL,-22.91,-43.2575,2024-11-21 00:01:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,JAPERI,CENTRO DE ENGENHEIRO PEDREIRA,-22.6751338,-43.6066071,2024-11-20 09:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,BARBALHO,-12.960762866966096,-38.50134307116355,2024-11-19 20:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,PAU DA LIMA,-12.922912914359266,-38.44644794232869,2024-11-20 14:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,OLINDA,JARDIM ATLANTICO,-7.980241,-34.8437444,2024-11-20 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,PADRE MIGUEL,-22.858779,-43.447081,2024-11-20 14:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,RECIFE,BARRO,-8.0924695,-34.9385396,2024-11-20 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,JABOATAO DOS GUARARAPES,CURADO,-8.0825331,-34.9851086,2024-11-20 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,MARICÁ,JARDIM ATLANTICO CENTRAL,-22.9594682,-42.9496058,2024-11-19 19:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,PADRE MIGUEL,-22.85901588498264,-43.45340161775207,2024-11-20 11:50:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,ITANHANGA,-22.98785953,-43.2964934,2024-11-19 23:59:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,PRAIA DA BANDEIRA,-22.8098498,-43.1793597,2024-11-20 09:39:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.93921421318162,-43.25168437786986,2024-11-20 00:11:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.824241,-43.2827951,2024-11-20 06:15:00,Polícia,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,RECIFE,LINHA DO TIRO,-8.010452126858462,-34.906397109546546,2024-11-19 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,SITIO DOS PINTOS,-8.0131212,-34.958266,2024-11-19 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Bahia,SALVADOR,BROTAS,-12.986780672793415,-38.47158099940566,2024-11-19 22:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,BELFORD ROXO,HELIOPOLIS,-22.7379522,-43.4110206,2024-11-19 08:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.8319059,-43.302209,2024-11-19 20:55:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,VILAR DOS TELES,-22.774105278174197,-43.36980531191712,2024-11-19 18:00:00,Imprensa,Não,Não,1.0,2.0,,,Não,Disputa,#fe9600,,,11
Bahia,SAO SEBASTIAO DO PASSE,NI,-12.5127094,-38.4908644,2024-11-19 14:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,BELFORD ROXO,SANTA TEREZA,-22.741442,-43.3449457,2024-11-17 10:47:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,PERNAMBUES,-12.9728811,-38.4565258,2024-11-19 02:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,BOA VIAGEM,-8.126657826132899,-34.90478649889735,2024-11-18 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,CAMARAGIBE,VILA DA FABRICA,-8.007756190541974,-34.977791195202016,2024-11-18 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,BANGU,-22.85319795,-43.47059105,2024-11-17 10:00:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CORDOVIL,-22.8239006,-43.3010908,2024-11-18 23:33:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,JAPERI,CENTRO DE ENGENHEIRO PEDREIRA,-22.677114872246666,-43.60765054683532,2024-11-18 20:00:00,Polícia,Sim,Sim,,2.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,JAPERI,ALJEZUR,-22.6792925,-43.578714,2024-11-18 08:00:00,Imprensa,Não,Não,2.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,ENGENHO VELHO DE BROTAS,-12.992244317143056,-38.50141837773389,2024-11-18 19:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.9324433,-43.2411073,2024-11-17 15:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,CABO DE SANTO AGOSTINHO,GAIBU,-8.330197,-34.957628,2024-11-16 00:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,TAQUARA,-22.9229954,-43.3742313,2024-11-17 15:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,IMBIRIBEIRA,-8.0845721,-34.9085578,2024-11-17 00:00:00,Usuário,Sim,Não,,,1.0,,Não,Suicídio,#fe9600,,,11
Pernambuco,RECIFE,JARDIM SAO PAULO,-8.0789702,-34.9422945,2024-11-18 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,JABOATAO DOS GUARARAPES,SUCUPIRA,-8.099457580520918,-34.966291997142946,2024-11-17 00:00:00,Imprensa,Não,Não,2.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,JABOATAO DOS GUARARAPES,CURADO,-8.080945363927771,-34.984782121864264,2024-11-17 00:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,AFLITOS,-8.044538321433981,-34.89727753229082,2024-11-16 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,TORROES,-8.054993455667109,-34.93671865229327,2024-11-17 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,COQUEIRAL,-8.0864522,-34.9685762,2024-11-17 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,JACAREPAGUA,-22.9269433,-43.4000223,2024-11-17 18:00:00,Imprensa,Não,Não,,1.0,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,NITERÓI,FONSECA,-22.8765511,-43.0859396,2024-11-18 07:55:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,SAO CRISTOVAO,-12.9109589,-38.3583355,2024-11-17 22:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,ITACARANHA,-12.888449458151625,-38.47819321971421,2024-11-18 02:00:00,Imprensa,Não,Não,2.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CIDADE DE DEUS,-22.949732,-43.356823,2024-11-17 10:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Bahia,CAMACARI,JARDIM LIMOEIRO,-12.707567811375808,-38.29894921481935,2024-11-17 15:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,CAMACARI,LAMA PRETA,-12.703411,-38.3391434,2024-11-17 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,SAO TOME,-12.81872686915096,-38.47729683068848,2024-11-17 16:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,LINS DE VASCONCELOS,-22.91534468,-43.28452174,2024-11-17 15:40:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.8376525,-43.2897278,2024-11-17 07:00:00,Imprensa,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,FREGUESIA (JACAREPAGUA),-22.965827306538998,-43.34831617576306,2024-11-16 20:30:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Bahia,CAMACARI,VERDES HORIZONTES,-12.72058,-38.31903,2024-11-16 20:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,DIAS D'AVILA,MORADA DAS MANGUEIRAS,-12.60008780950916,-38.29647476253059,2024-11-16 20:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPO GRANDE,-22.855164,-43.53284498,2024-11-16 21:25:00,Imprensa,Não,Não,1.0,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,PERNAMBUES,-12.972474992536927,-38.45554921226671,2024-11-17 03:00:00,Imprensa,Sim,Não,,,1.0,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,IAPI,-12.957385326872284,-38.4853541,2024-11-17 07:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,BELFORD ROXO,CENTRO,-22.76757611,-43.40233355,2024-11-16 14:14:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,11
Bahia,SALVADOR,RIO SENA,-12.87840400315376,-38.46969332098035,2024-11-16 07:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,MATA DE SAO JOAO,ACUZINHO,-12.560009030089631,-38.01617146085204,2024-11-16 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Tortura,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,VILAR DOS TELES,-22.7683738,-43.357222,2024-11-16 02:00:00,Imprensa,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,BAIRRO DA PAZ,-12.927847463479914,-38.370369237394605,2024-11-15 21:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,IGARASSU,AGAMENON,-7.832714588741692,-34.92223034787735,2024-11-15 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.88516437778236,-43.339752176477134,2024-11-15 18:10:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,EDEN,-22.793839258127317,-43.39415542781353,2024-11-15 16:50:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Pernambuco,RECIFE,BARRO,-8.088759271894535,-34.94517168129821,2024-11-15 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPO GRANDE,-22.855164,-43.53284498,2024-11-14 21:00:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,BELFORD ROXO,XAVANTES,-22.7375441,-43.3987237,2024-11-15 06:00:00,Imprensa,Sim,Não,,,,1.0,Não,Tentativa/Roubo,#fe9600,,,11
Pernambuco,SAO LOURENCO DA MATA,MURIBARA,-8.022522921128413,-35.04223622632527,2024-11-14 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,CABO DE SANTO AGOSTINHO,PONTE DOS CARVALHOS,-8.2352701,-34.9821188,2024-11-14 00:00:00,Imprensa,Não,Não,,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,GOIANA,GOIANA,-7.5630149,-35.0131428,2024-11-14 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,JABOATAO DOS GUARARAPES,CAJUEIRO SECO,-8.1744449,-34.9313665,2024-11-14 00:00:00,Imprensa,Não,Não,,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,LAURO DE FREITAS,CAJI,-12.8789985,-38.3490658,2024-11-15 04:00:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,EDEN,-22.7933175,-43.394212,2024-11-15 00:45:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,SÃO JOÃO DE MERITI,EDEN,-22.7933175,-43.394212,2024-11-14 23:18:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,FREGUESIA (ILHA),-22.7876981,-43.1801949,2024-11-14 19:00:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,DUQUE DE CAXIAS,CENTENARIO,-22.772689,-43.3125635,2024-11-14 15:30:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.8834352,-43.3538259,2024-11-14 17:30:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,GARDENIA AZUL,-22.9557417,-43.35341390000001,2024-11-14 13:15:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.8834352,-43.3538259,2024-11-14 16:25:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Pernambuco,RECIFE,PASSARINHO,-7.983417927058701,-34.91849942344269,2024-11-13 00:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,CANDEIAS,SANRANDY,-12.6687722,-38.5362529,2024-11-14 07:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,GOIANA,PONTA DE PEDRAS,-7.679384099999999,-34.8393041,2024-11-13 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,PIEDADE,-22.87657404,-43.30422326,2024-11-14 03:00:00,Usuário,Não,Não,,,,,Não,Disputa,#fe9600,,,11
Pernambuco,RECIFE,JARDIM SAO PAULO,-8.083228407681487,-34.941429397177146,2024-11-13 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,PINA,-8.091951756287429,-34.88764637048115,2024-11-13 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Pernambuco,RECIFE,CURADO,-8.0701858,-34.9865349,2024-11-13 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,BARBALHO,-12.969851326290716,-38.49905759426679,2024-11-14 07:00:00,Imprensa,Não,Não,1.0,,,,Não,Tentativa/Roubo,#fe9600,,,11
Rio de Janeiro,NITERÓI,BARRETO,-22.8682013,-43.1065643,2024-11-13 20:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.8863009,-43.3389215,2024-11-14 04:28:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,VILA ISABEL,-22.91,-43.2575,2024-11-14 00:01:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,PAVUNA,-22.806233259570497,-43.36463605186768,2024-11-13 17:30:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,BANGU,-22.8877822,-43.4646631,2024-11-13 10:00:00,Imprensa,Não,Não,,1.0,,,Não,Tentativa/Roubo,#fe9600,,,11
Rio de Janeiro,BELFORD ROXO,XAVANTES,-22.7238873,-43.3882048,2024-11-13 14:00:00,Imprensa,Sim,Não,,,1.0,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,DIAS D'AVILA,SANTA HELENA,-12.599294371484536,-38.3227863876681,2024-11-13 14:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
Bahia,SALVADOR,ROMA,-12.935860682605558,-38.50280354903599,2024-11-13 03:29:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,11
Bahia,LAURO DE FREITAS,PORTAO,-12.8614375,-38.2998038,2024-11-13 11:20:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Bahia,SALVADOR,BROTAS,-12.988660134379122,-38.47612130239551,2024-11-13 10:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,11
Pernambuco,RECIFE,PRADO,-8.0558401,-34.9224846,2024-11-12 00:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,QUINTINO BOCAIUVA,-22.892265434639427,-43.32370969311524,2024-11-13 10:10:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,11
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.9191137,-43.2341454,2024-11-12 18:00:00,Imprensa,Sim,Não,1.0,,,,Não,Tentativa/Roubo,#fe9600,,,11
Pernambuco,SAO LOURENCO DA MATA,PIXETE,-7.980043399999999,-35.055335,2024-11-12 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,11
