uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.9300764,-43.2472348,2024-04-09 21:35:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAMPO GRANDE,-22.907503856134124,-43.5658978762557,2024-04-09 23:40:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,BANGU,-22.894855591283346,-43.478052649417776,2024-04-09 11:00:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,4
Bahia,SALVADOR,ENGENHO VELHO DA FEDERACAO,-13.001619082306286,-38.49387030363541,2024-04-09 19:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,DEL CASTILHO,-22.8811046,-43.2720886,2024-04-09 14:00:00,Imprensa,Não,Não,1.0,,,,Não,Disputa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,DEL CASTILHO,-22.8811046,-43.2720886,2024-04-09 15:00:00,Imprensa,Sim,Não,,,,,Não,Tentativa/Roubo,#fe9600,,,4
Bahia,SALVADOR,MUSSURUNGA,-12.911588748997644,-38.37981870251619,2024-04-09 03:30:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Bahia,SAO FRANCISCO DO CONDE,CAIPE,-12.722669266149406,-38.59923249491796,2024-04-09 11:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,4
Pernambuco,IGARASSU,SANTA RITA,-7.8339588,-34.9003325,2024-04-09 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,SITIO DOS PINTOS,-8.0131212,-34.958266,2024-04-08 00:00:00,Usuário,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,4
Pernambuco,CABO DE SANTO AGOSTINHO,ITAPOAMA,-8.2940588,-34.9526542,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,ENGENHO DO MEIO,-8.059436288908042,-34.944014249727694,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,GUARARAPES,-8.160057591641054,-34.93321631691723,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,PRAZERES,-8.16628391556102,-34.93201369222406,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,VARZEA,-8.06781309753653,-34.98591974787311,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,TORROES,-8.0594625,-34.9359717,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,GOIANA,PONTA DE PEDRAS,-7.630907100000001,-34.8118485,2024-04-08 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,SANTO ALEIXO,-8.10749669510496,-35.014126392054145,2024-04-08 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,PINA,-8.09438421735707,-34.88843851576516,2024-04-08 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,CURADO,-8.071071763983298,-34.94237320940094,2024-04-08 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Bahia,CAMACARI,CATU DE ABRANTES,-12.859234110982328,-38.28767592677716,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,TAQUARA,-22.91508487561071,-43.41978745724608,2024-04-09 08:40:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,ROCINHA,-22.987941,-43.2480087,2024-04-07 22:00:00,Imprensa,Não,Não,1.0,,,,Não,Briga,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,TANQUE,-22.908141396419595,-43.36840216860353,2024-04-08 16:00:00,Polícia,Sim,Sim,,1.0,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,SANTISSIMO,-22.8727427,-43.5275105,2024-04-08 20:00:00,Polícia,Sim,Sim,,2.0,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,REALENGO,-22.8612486,-43.4286585,2024-04-07 15:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAMPINHO,-22.88631095497146,-43.34086797542733,2024-04-08 18:25:00,Imprensa,Não,Não,,,,,Não,Disputa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,GUARATIBA,-22.99446742546997,-43.60893790318028,2024-04-08 17:15:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,SEROPÉDICA,BOA ESPERANCA,-22.738403,-43.6993727,2024-04-08 16:55:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Pernambuco,OLINDA,PEIXINHOS,-8.0030587,-34.8797436,2024-04-07 00:00:00,Usuário,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,SAO JOSE,-8.077235103800623,-34.900771140458104,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.8304639,-43.3016233,2024-04-08 15:45:00,Imprensa,Sim,Sim,,,,,Não,Ação policial,#fe9600,,,4
Rio de Janeiro,SEROPÉDICA,BOA ESPERANCA,-22.7451991,-43.7012708,2024-04-08 15:00:00,Imprensa,Não,Não,1.0,4.0,,,Não,Disputa,#fe9600,,,4
Pernambuco,RECIFE,BOMBA DO HEMETERIO,-8.0219445,-34.900148,2024-04-07 00:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,PEDRA DE GUARATIBA,-22.994271274225923,-43.60838301587189,2024-04-06 23:59:00,Imprensa,Não,Não,,1.0,,,Não,Disputa,#fe9600,,,4
Pernambuco,RECIFE,BOMBA DO HEMETERIO,-8.0215319,-34.9008558,2024-04-07 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,SAO LOURENCO DA MATA,CAPIBARIBE,-8.0048646657064,-35.020997662493166,2024-04-07 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,BREJO DA GUABIRABA,-7.9927254832715935,-34.934155929427305,2024-04-07 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,MURIBEQUINHA,-8.1235405,-34.9997282,2024-04-07 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,JARDIM JORDAO,-8.152275735308965,-34.93563393729587,2024-04-06 00:00:00,Imprensa,Não,Não,1.0,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Bahia,SALVADOR,COMERCIO,-12.9769238,-38.5164065,2024-04-08 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Não identificado,#fe9600,,,4
Pernambuco,CABO DE SANTO AGOSTINHO,JUCARAL,-8.2150968,-35.2270304,2024-04-06 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,IGARASSU,CENTRO,-7.832157077166759,-34.90422810555493,2024-04-06 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,IMBIRIBEIRA,-8.119838375866362,-34.910219320190755,2024-04-07 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,PASSARINHO,-7.988324584696,-34.929062796196675,2024-04-07 00:00:00,Imprensa,Não,Não,1.0,2.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,CORDEIRO,-8.041477684937536,-34.926758028836346,2024-04-05 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.835,-43.300278,2024-04-08 08:29:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,COSTA BARROS,-22.82326393,-43.37707903,2024-04-08 06:20:00,Imprensa,Sim,Sim,2.0,,,,Não,Operação policial,#fe9600,,,4
Bahia,SALVADOR,JARDIM CAJAZEIRAS,-12.91679835358441,-38.44767614171619,2024-04-08 07:00:00,Imprensa,Sim,Sim,2.0,,,,Não,Operação policial,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,TIJUCA,-22.93888816,-43.25350828,2024-04-08 06:18:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,4
